rk,name,gp,passing_cmp,passing_att,passing_cmp%,passing_yds,passing_pass avg,passing_td,passing_int,passing_rating,rushing_att,rushing_yds,rushing_avg,rushing_td,fpts/g,2024_fpts/g
1,Josh Allen,17,385,579,66.5,4306,7.4,29,18,92.2,111,524,4.7,15,23.1,22.3
2,Jalen Hurts,17,352,538,65.4,3858,7.2,23,15,89.1,157,605,3.9,15,21,21
3,Dak Prescott,17,410,590,69.5,4516,7.7,36,9,105.9,55,242,4.4,2,20.2,14.6
4,Lamar Jackson,16,307,457,67.2,3678,8,24,7,102.7,148,821,5.5,5,20.7,25.3
5,Jordan Love,17,372,579,64.2,4159,7.2,32,11,96.1,50,247,4.9,4,18.8,15.6
6,Brock Purdy,16,308,444,69.4,4280,9.6,31,11,113,39,144,3.7,2,18.5,17.8
7,Jared Goff,17,407,605,67.3,4575,7.6,30,12,97.9,32,21,0.7,2,17,19.1
8,Patrick Mahomes,16,401,597,67.2,4183,7,27,14,92.6,75,389,5.2,0,17.5,17.7
9,C.J. Stroud,15,319,499,63.9,4108,8.2,23,5,100.8,39,167,4.3,3,18.4,13
10,Baker Mayfield,17,364,566,64.3,4044,7.1,28,10,94.6,62,163,2.6,1,16.1,21.5
11,Tua Tagovailoa,17,388,560,69.3,4624,8.3,29,14,101.1,35,74,2.1,0,15.9,16.5
12,Trevor Lawrence,16,370,564,65.6,4016,7.1,21,14,88.5,70,339,4.8,4,16.4,14.5
13,Sam Howell,17,388,612,63.4,3946,6.4,21,21,78.9,48,263,5.5,5,15.1,-0.3
14,Russell Wilson,15,297,447,66.4,3070,6.9,26,8,98,80,341,4.3,3,17.1,15.7
15,Matthew Stafford,15,326,521,62.6,3965,7.6,24,11,92.5,21,65,3.1,0,16.2,13.4
16,Derek Carr,17,375,548,68.4,3878,7.1,25,8,97.7,32,40,1.2,0,14.2,15.1
17,Justin Herbert,13,297,456,65.1,3134,6.9,20,7,93.2,52,228,4.4,3,18,16.8
18,Justin Fields,13,227,370,61.4,2562,6.9,16,9,86.3,124,657,5.3,4,17.7,11.9
19,Geno Smith,15,323,499,64.7,3624,7.3,20,9,92.1,37,155,4.2,1,15.2,15.6
20,Joshua Dobbs,13,262,417,62.8,2464,5.9,13,10,79.5,77,421,5.5,6,15.4,15.4
21,Gardner Minshew II,16,305,490,62.2,3305,6.7,15,9,84.6,34,100,2.9,3,12.3,9.6
22,Desmond Ridder,15,249,388,64.2,2836,7.3,12,12,83.4,53,193,3.6,5,11.8,4.4
23,Bryce Young,16,315,527,59.8,2877,5.5,11,10,73.7,39,253,6.5,0,9.8,13.9
24,Kirk Cousins,8,216,311,69.5,2331,7.5,18,5,103.8,14,25,1.8,0,18.7,12.6
25,Joe Burrow,10,244,365,66.8,2309,6.3,15,6,91,31,88,2.8,0,14.7,21.9
26,Kyler Murray,8,176,268,65.7,1799,6.7,10,5,89.4,44,244,5.5,3,18.3,17.5
27,Jake Browning,9,171,243,70.4,1936,8,12,7,98.4,27,127,4.7,3,16,-0.1
28,Taysom Hill,16,6,11,54.5,83,7.5,1,0,109.3,81,401,5,4,9,12.8
29,Aidan O'Connell,11,213,343,62.1,2218,6.5,12,7,83.9,17,11,0.6,1,11.4,10.4
31,Kenny Pickett,12,201,324,62,2070,6.4,6,4,81.4,42,54,1.3,1,9.2,5
32,Mac Jones,11,224,345,64.9,2120,6.1,10,12,77,26,96,3.7,0,9.7,9.6
33,Will Levis,9,149,255,58.4,1808,7.1,8,4,84.2,25,57,2.3,1,11.3,10
34,Joe Flacco,5,123,204,60.3,1616,7.9,13,8,90.2,9,2,0.2,0,20.2,12.4
35,Tommy DeVito,10,114,178,64,1101,6.2,8,3,89.2,36,195,5.4,1,9.4,4.5
36,Tyrod Taylor,11,116,180,64.4,1341,7.5,5,3,89.1,38,197,5.2,0,7.9,10
37,Deshaun Watson,6,105,171,61.4,1115,6.5,7,4,84.3,26,142,5.5,1,14.5,11
39,Anthony Richardson,4,50,84,59.5,577,6.9,3,1,87.2,25,136,5.4,4,18.2,14.9
40,Bailey Zappe,10,127,212,59.9,1272,6,6,9,68.8,17,83,4.9,1,6.9,7
42,Nick Mullens,5,100,148,67.6,1306,8.8,7,8,88.4,10,25,2.5,0,13.3,0.3
43,Taylor Heinicke,5,74,136,54.4,890,6.5,5,4,74.7,15,124,8.3,1,13.2,0.8
44,Jimmy Garoppolo,7,110,169,65.1,1205,7.1,7,9,77.7,20,39,1.9,0,9.2,19.9
45,Daniel Jones,6,108,160,67.5,909,5.7,2,6,70.5,40,206,5.2,1,9.5,13.5
46,Tyson Bagent,5,94,143,65.7,859,6,3,6,71.4,23,109,4.7,2,10.7,-0.1
47,Mitchell Trubisky,5,67,107,62.6,632,5.9,4,5,71.9,16,54,3.4,2,9.7,1.7
48,Mason Rudolph,4,55,74,74.3,719,9.7,3,0,118,10,8,0.8,0,9.9,12
49,Drew Lock,4,48,76,63.2,543,7.1,3,3,81.2,5,14,2.8,0,7.3,10
51,Jarrett Stidham,3,40,66,60.6,496,7.5,2,1,87.7,9,8,0.9,0,8.9,0.2
52,Carson Wentz,2,17,24,70.8,163,6.8,2,1,99.8,17,56,3.3,1,13.1,1.6
53,Tyler Huntley,6,21,37,56.8,203,5.5,3,0,99.3,15,55,3.7,0,4.3,12.1
54,Andy Dalton,4,34,58,58.6,361,6.2,2,0,88.4,3,12,4,0,5.9,9.8
55,Sam Darnold,10,28,46,60.9,297,6.5,2,1,85.1,21,15,0.7,1,2.3,18.1
56,Jacoby Brissett,3,18,23,78.3,224,9.7,3,0,146.8,3,19,6.3,0,7.6,5.7
57,Dorian Thompson-Robinson,8,60,112,53.6,440,3.9,1,4,51.2,14,65,4.6,0,2.8,2.3
60,Davis Mills,6,18,39,46.2,173,4.4,2,0,76.1,2,9,4.5,0,3,2.4
61,Jeff Driskel,1,13,26,50,166,6.4,2,2,63.9,7,33,4.7,0,13.9,0
62,Jameis Winston,7,25,47,53.2,264,5.6,2,3,57.4,5,-6,-1.2,0,1.7,10.9
63,Marcus Mariota,3,15,23,65.2,164,7.1,1,1,82.5,8,52,6.5,0,3.9,15.3
64,Tim Boyle,3,48,77,62.3,360,4.7,1,4,56.2,4,5,1.2,0,3.6,4.6
