rk,name,gp,rushing_att,rushing_yds,rushing_avg,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td,fum,fumbles_lost,fpts/g,2023_fpts/g
1,Josh Jacobs,17,340,1653,4.9,12,64,53,400,0,3,1,19.3,13.9
2,Derrick Henry,16,349,1538,4.4,13,41,33,398,0,6,3,18.9,14.5
3,Nick Chubb,17,302,1525,5,12,37,27,239,1,1,1,16.6,11.6
4,Saquon Barkley,16,295,1312,4.4,10,76,57,338,0,1,0,17.8,15.9
5,Miles Sanders,17,259,1269,4.9,11,26,20,78,0,2,2,12.7,5.5
6,Dalvin Cook,17,264,1173,4.4,8,56,39,295,2,4,4,14,2.7
7,Christian McCaffrey,17,244,1139,4.7,8,108,85,741,5,1,0,21,24.5
8,Travis Etienne Jr.,17,220,1125,5.1,5,45,35,316,0,5,3,12.1,16.6
9,Aaron Jones,17,213,1121,5.3,2,72,59,395,5,5,3,14.6,12.3
10,Jamaal Williams,17,262,1066,4.1,17,16,12,73,0,3,2,13.3,4.7
11,Kenneth Walker III,15,228,1050,4.6,9,35,27,165,0,0,0,13.5,13.3
12,Rhamondre Stevenson,17,210,1040,5,5,88,69,421,1,4,1,14.7,12.1
13,Tyler Allgeier,16,210,1035,4.9,3,17,16,139,1,0,0,10,8.1
14,Najee Harris,17,272,1034,3.8,7,53,41,229,3,3,2,13.1,11.5
15,Tony Pollard,16,193,1007,5.2,9,55,39,371,3,0,0,15.6,13.1
16,Dameon Pierce,13,220,939,4.3,4,39,30,165,1,4,2,12.8,5.5
17,Austin Ekeler,17,204,915,4.5,13,127,107,722,5,5,3,21.9,13.2
18,D'Onta Foreman,17,203,914,4.5,5,9,5,26,0,1,0,7.7,10.1
19,Alvin Kamara,15,223,897,4,2,77,57,490,2,4,4,14.1,17.9
20,Raheem Mostert,16,181,891,4.9,3,42,31,202,2,2,1,10.5,17.8
21,Ezekiel Elliott,15,231,876,3.8,12,23,17,92,0,0,0,12.4,10.3
22,Jonathan Taylor,11,192,861,4.5,4,40,28,143,0,3,3,13.3,15.6
23,Jeff Wilson Jr.,16,176,860,4.9,5,37,22,185,1,3,2,9.9,4.1
24,Isiah Pacheco,17,170,830,4.9,5,14,13,130,0,4,2,7.9,15.3
25,Devin Singletary,16,177,819,4.6,5,52,38,280,1,3,3,11.1,9.8
26,Joe Mixon,14,210,814,3.9,7,75,60,441,2,0,0,17.1,15.7
27,David Montgomery,16,201,801,4,5,40,34,316,1,2,2,11.1,14.8
28,Brian Robinson Jr.,12,205,797,3.9,2,12,9,60,1,2,0,9.4,13.2
29,Cam Akers,15,188,786,4.2,7,18,13,117,0,2,2,9.4,6.7
30,James Conner,13,183,782,4.3,7,58,46,300,1,3,1,15.4,15.5
31,AJ Dillon,17,186,770,4.1,7,43,28,206,0,1,0,9.9,7.8
32,Latavius Murray,13,171,760,4.4,6,35,27,132,0,1,0,11.9,5.2
33,Khalil Herbert,13,129,731,5.7,4,12,9,57,1,0,0,9.1,9.4
34,Cordarrelle Patterson,13,144,695,4.8,8,31,21,122,0,1,1,11.4,2.6
36,Antonio Gibson,15,149,546,3.7,3,58,46,353,2,2,0,11.1,8
37,D'Andre Swift,14,99,542,5.5,5,70,48,389,3,1,0,13.7,12.5
39,James Cook,16,89,507,5.7,2,32,21,180,1,1,1,6.6,13.7
41,Rachaad White,17,129,481,3.7,1,58,50,290,2,3,3,8.2,15.8
42,Kareem Hunt,17,123,468,3.8,3,44,35,210,1,1,0,7.5,7.9
43,Chuba Hubbard,15,95,466,4.9,2,17,14,171,0,4,1,5.8,10.7
44,Breece Hall,7,80,463,5.8,4,31,19,218,1,1,1,16.4,17.1
45,Damien Harris,13,106,462,4.4,3,23,17,97,0,0,0,7,3.2
46,Zack Moss,13,93,456,4.9,1,13,11,39,0,1,1,5,12.1
47,Gus Edwards,9,87,433,5,3,2,0,0,0,1,1,6.6,11
49,Michael Carter,16,114,402,3.5,3,54,41,288,0,2,1,7.9,3.9
