rk,name,gp,rushing_att,rushing_yds,rushing_avg,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td,fum,fumbles_lost,fpts/g
1,Saquon Barkley,16,345,2005,5.8,13,43,33,278,2,2,1,22.2
2,Derrick Henry,17,325,1921,5.9,16,22,19,193,2,3,1,19.8
3,Bijan Robinson,17,304,1456,4.8,14,72,61,431,1,1,0,20.1
4,Jonathan Taylor,14,303,1431,4.7,11,31,18,136,1,4,0,17.6
5,Jahmyr Gibbs,17,250,1412,5.6,16,63,52,517,4,1,1,21.3
6,Josh Jacobs,17,301,1329,4.4,15,43,36,342,1,4,3,17.2
7,Kyren Williams,16,316,1299,4.1,14,40,34,182,2,5,3,17
8,Chuba Hubbard,15,250,1195,4.8,10,54,43,171,1,4,3,16.1
9,Aaron Jones,17,255,1138,4.5,5,62,51,408,2,5,3,14.2
10,Bucky Irving,17,207,1122,5.4,8,52,47,392,0,2,1,14.4
11,James Conner,16,236,1094,4.6,8,55,47,414,1,4,1,15.9
12,Tony Pollard,16,260,1079,4.2,5,57,41,238,0,2,2,12.5
13,Rico Dowdle,16,235,1079,4.6,2,49,39,249,3,3,2,12.4
14,Najee Harris,17,263,1043,4,6,48,36,283,0,0,0,12
15,Joe Mixon,14,245,1016,4.1,11,52,36,309,1,0,0,17.2
16,James Cook,16,207,1009,4.9,16,38,32,258,2,1,0,16.7
17,Chase Brown,16,229,990,4.3,7,65,54,360,4,2,1,15.9
18,D'Andre Swift,17,253,959,3.8,6,52,42,386,0,2,0,12.6
19,Alvin Kamara,14,228,950,4.2,6,89,68,543,2,1,0,18.9
20,De'Von Achane,17,203,907,4.5,6,87,78,592,6,1,0,17.6
21,J.K. Dobbins,13,195,905,4.6,9,38,32,153,0,0,0,14.8
22,Breece Hall,16,209,876,4.2,5,76,57,483,3,6,2,15.1
23,Tyrone Tracy Jr.,17,192,839,4.4,5,53,38,284,1,5,2,10.7
24,Rhamondre Stevenson,15,207,801,3.9,7,41,33,168,1,7,3,11.7
25,Brian Robinson Jr.,14,187,799,4.3,8,25,20,159,0,2,2,11.4
26,Jordan Mason,12,153,789,5.2,3,14,11,91,0,3,1,9.6
27,David Montgomery,14,185,775,4.2,12,38,36,341,0,2,1,15.8
28,Tank Bigsby,16,168,766,4.6,7,12,7,54,0,4,1,8.1
29,Kareem Hunt,13,200,728,3.6,7,32,23,176,0,0,0,12
30,Tyler Allgeier,17,137,644,4.7,3,13,13,88,0,0,0,6.2
31,Rachaad White,16,144,613,4.3,3,57,51,393,6,3,3,12.5
32,Kenneth Walker III,11,153,573,3.7,7,53,46,299,1,1,0,16.5
33,Zach Charbonnet,17,135,569,4.2,8,52,42,340,1,0,0,11
34,Jerome Ford,14,104,565,5.4,3,43,37,225,0,0,0,9.6
35,Travis Etienne Jr.,15,150,558,3.7,2,52,39,254,0,1,1,8.7
36,Antonio Gibson,17,120,538,4.5,1,29,23,206,0,2,0,6.1
37,Javonte Williams,17,139,513,3.7,4,70,52,346,0,2,2,9.3
38,Jaylen Warren,15,120,511,4.3,1,48,38,310,0,2,1,8.3
39,Emanuel Wilson,17,103,502,4.9,4,14,11,48,1,0,0,5.6
40,Jaleel McLaughlin,16,113,496,4.4,1,27,24,76,2,1,1,6.1
41,Cam Akers,17,104,444,4.3,2,18,14,68,3,1,1,5.5
42,Ray Davis,17,113,442,3.9,3,19,17,189,3,0,0,6.8
43,Devin Singletary,15,113,437,3.9,4,24,21,119,0,2,2,6.4
44,Alexander Mattison,14,132,420,3.2,4,48,36,294,1,1,1,9.8
45,Isaac Guerendo,16,84,420,5,4,16,15,152,0,3,1,5.9
46,Austin Ekeler,12,77,367,4.8,4,41,35,366,0,3,0,11
47,Gus Edwards,11,101,365,3.6,4,5,3,6,0,0,0,5.8
48,Braelon Allen,17,92,334,3.6,2,27,19,148,1,0,0,5
49,Nick Chubb,8,102,332,3.3,3,11,5,31,1,1,1,7.9
50,Tyjae Spears,12,84,312,3.7,4,35,30,224,1,1,0,9.5
51,Ameer Abdullah,16,66,311,4.7,2,47,40,261,3,2,1,7.8
52,Audric Estime,13,76,310,4.1,2,5,5,27,0,2,1,3.7
53,Isiah Pacheco,7,83,310,3.7,1,16,12,79,0,0,0,8.1
54,Sean Tucker,17,50,308,6.2,2,12,9,109,1,1,0,4
55,Dameon Pierce,11,40,293,7.3,2,4,2,2,0,1,0,4
56,Trey Benson,13,63,291,4.6,1,6,6,59,0,1,0,3.6
57,Kenneth Gainwell,17,75,290,3.9,1,22,16,116,0,0,0,3.7
58,Raheem Mostert,13,85,278,3.3,2,23,19,161,0,2,2,5.5
59,Jeremy McNichols,17,55,261,4.7,4,12,9,27,0,0,0,3.8
60,Jaylen Wright,15,68,249,3.7,0,6,3,8,0,1,1,1.8
61,Zack Moss,8,74,242,3.3,2,27,23,187,1,2,1,10.2
62,D'Onta Foreman,11,71,232,3.3,0,8,6,54,0,2,1,3
63,Justice Hill,15,47,228,4.9,1,51,42,383,3,0,0,8.5
64,Ezekiel Elliott,15,74,226,3.1,3,15,12,69,0,1,1,3.8
65,Emari Demercado,13,24,223,9.3,1,20,16,104,0,0,0,4.2
66,Ty Johnson,17,41,213,5.2,1,25,18,284,3,0,0,5.4
67,Blake Corum,17,58,207,3.6,0,8,7,58,0,0,0,2
68,Miles Sanders,11,55,205,3.7,2,30,24,148,1,1,0,7
69,Christian McCaffrey,4,50,202,4,0,19,15,146,0,1,1,11.9
