rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g,2023_fpts/g
1,Travis Kelce,17,152,110,72.4,1338,12,52,8.8,12.2,2,5,2.5,0,1,1,18.6,14.6
2,T.J. Hockenson,17,129,86,66.7,914,6,81,7.1,10.6,0,0,0,0,1,1,12.7,14.6
3,George Kittle,15,86,60,69.8,765,11,54,8.9,12.8,0,0,0,0,1,1,13.4,12.7
4,Mark Andrews,15,113,73,64.6,847,5,36,7.5,11.6,3,8,2.7,0,1,0,12.7,13.5
5,Evan Engram,17,98,73,74.5,766,4,36,7.8,10.5,2,13,6.5,0,0,0,10.4,13.5
6,Tyler Higbee,17,108,72,66.7,620,3,26,5.7,8.6,0,0,0,0,0,0,8.9,7.2
7,Pat Freiermuth,16,98,63,64.3,732,2,57,7.5,11.6,0,0,0,0,0,0,9.3,6.4
8,Cole Kmet,17,69,50,72.5,544,7,50,7.9,10.9,2,9,4.5,0,1,0,8.7,10.7
10,Dalton Schultz,15,89,57,64,577,5,30,6.5,10.1,0,0,0,0,1,1,9.5,10
11,David Njoku,14,80,58,72.5,628,4,38,7.8,10.8,2,-8,-4,0,1,1,10.1,12.6
12,Dallas Goedert,12,69,55,79.7,702,3,31,10.2,12.8,0,0,0,0,1,1,11.8,9.7
13,Gerald Everett,16,87,58,66.7,555,4,26,6.4,9.6,1,0,0,0,0,0,8.7,7.4
14,Dawson Knox,15,65,48,73.8,517,6,45,8,10.8,0,0,0,0,0,0,9,4.5
15,Juwan Johnson,16,65,42,64.6,508,7,41,7.8,12.1,0,0,0,0,0,0,8.4,7.5
16,Tyler Conklin,17,87,58,66.7,552,3,30,6.3,9.5,2,3,1.5,0,2,0,7.7,7.2
17,Noah Fant,17,63,50,79.4,486,4,51,7.7,9.7,0,0,0,0,0,0,7.2,4.3
18,Jordan Akins,15,54,37,68.5,495,5,46,9.2,13.4,0,0,0,0,1,1,7.8,1.7
19,Zach Ertz,10,69,47,68.1,406,4,32,5.9,8.6,0,0,0,0,0,0,11.6,7.4
20,Robert Tonyan,17,67,53,79.1,470,2,24,7,8.9,0,0,0,0,0,0,6.6,1.3
21,Hayden Hurst,13,68,52,76.5,414,2,29,6.1,8,0,0,0,0,0,0,8.1,4.7
22,Hunter Henry,17,59,41,69.5,509,2,39,8.6,12.4,0,0,0,0,0,0,6.1,8.6
23,Mike Gesicki,17,52,32,61.5,362,5,32,7,11.3,0,0,0,0,0,0,5.8,3.8
24,Austin Hooper,17,60,41,68.3,444,2,24,7.4,10.8,0,0,0,0,0,0,5.7,2.8
25,Chig Okonkwo,17,46,32,69.6,450,3,48,9.8,14.1,3,2,0.7,0,0,0,5.7,6.7
26,Cade Otton,16,65,42,64.6,391,2,35,6,9.3,0,0,0,0,0,0,5.8,6.9
27,Isaiah Likely,16,60,36,60,373,3,34,6.2,10.4,0,0,0,0,0,0,5.7,5.9
28,Will Dissly,15,38,34,89.5,349,3,38,9.2,10.3,0,0,0,0,0,0,5.8,2.5
29,Greg Dulcich,10,55,33,60,411,2,39,7.5,12.5,0,0,0,0,0,0,8.6,2.8
30,Foster Moreau,15,54,33,61.1,420,2,33,7.8,12.7,0,2,0,0,1,1,5.7,3.1
31,Darren Waller,9,43,28,65.1,388,3,34,9,13.9,0,0,0,0,0,0,9.4,9.4
32,Logan Thomas,14,61,39,63.9,323,1,27,5.3,8.3,0,0,0,0,0,0,5.5,7.9
33,Kyle Pitts,10,59,28,47.5,356,2,33,6,12.7,0,0,0,0,0,0,7.6,8.1
34,Daniel Bellinger,12,35,30,85.7,268,2,24,7.7,8.9,1,2,2,1,1,1,6.2,3
36,Noah Gray,17,34,28,82.4,299,1,27,8.8,10.7,1,1,1,1,0,0,4.1,4.2
37,Colby Parkinson,17,34,25,73.5,322,2,39,9.5,12.9,0,0,0,0,0,0,4.1,3.6
38,Brock Wright,17,24,18,75,216,4,51,9,12,0,0,0,0,0,0,3.7,2
39,Harrison Bryant,17,42,31,73.8,239,1,30,5.7,7.7,1,8,8,0,0,0,3.6,2.2
40,Trey McBride,16,39,29,74.4,265,1,29,6.8,9.1,0,0,0,0,1,0,3.8,10.7
41,Kylen Granson,13,40,31,77.5,302,0,32,7.5,9.7,1,0,0,0,1,0,4.7,4.9
42,C.J. Uzomah,15,27,21,77.8,232,2,40,8.6,11,0,0,0,0,0,0,3.7,1.7
43,Irv Smith,8,36,25,69.4,182,2,17,5.1,7.3,0,0,0,0,1,0,6.9,2.8
