rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g
1,Brock Bowers,17,153,112,73.2,1194,5,57,7.8,10.7,5,13,2.6,0,0,0,15.5
2,Trey McBride,16,147,111,75.5,1146,2,37,7.8,10.3,1,2,2,2,0,0,15.6
3,George Kittle,15,94,78,83,1106,8,43,11.8,14.2,0,0,0,0,0,0,15.8
4,Jonnu Smith,17,111,88,79.3,884,8,57,8,10,2,-1,-0.5,0,2,1,13.1
5,Travis Kelce,16,133,97,72.9,823,3,38,6.2,8.5,1,1,1,0,2,1,12.2
6,Mark Andrews,17,69,55,79.7,673,11,67,9.8,12.2,4,5,1.2,0,0,0,11.1
7,Zach Ertz,17,91,66,72.5,654,7,37,7.2,9.9,0,0,0,0,1,0,10.4
8,Sam LaPorta,16,83,60,72.3,726,7,52,8.7,12.1,0,0,0,0,0,0,10.9
9,Pat Freiermuth,17,78,65,83.3,653,7,30,8.4,10,0,0,0,0,3,2,9.9
10,Tucker Kraft,17,70,50,71.4,707,7,67,10.1,14.1,3,6,2,0,1,1,9.6
11,David Njoku,11,97,64,66,505,5,29,5.2,7.9,0,0,0,0,0,0,13.5
12,Hunter Henry,16,97,66,68,674,2,35,6.9,10.2,0,0,0,0,0,0,9.1
13,Mike Gesicki,17,83,65,78.3,665,2,47,8,10.2,0,0,0,0,1,1,8.3
14,Cade Otton,14,87,59,67.8,600,4,44,6.9,10.2,1,-4,-4,0,2,1,10
15,Kyle Pitts,17,74,47,63.5,602,4,52,8.1,12.8,0,0,0,0,0,0,7.7
16,Isaiah Likely,16,58,42,72.4,477,6,49,8.2,11.4,0,0,0,0,1,1,7.7
17,Juwan Johnson,17,66,50,75.8,548,3,30,8.3,11,0,0,0,0,2,0,7.2
18,Tyler Conklin,16,72,51,70.8,449,4,27,6.2,8.8,1,0,0,0,0,0,7.6
19,Cole Kmet,17,55,47,85.5,474,4,31,8.6,10.1,0,0,0,0,0,0,7.1
20,Dalton Schultz,17,85,53,62.4,532,2,32,6.3,10,0,0,0,0,0,0,7
21,Chig Okonkwo,17,70,52,74.3,479,2,70,6.8,9.2,1,17,17,0,2,1,6.7
22,Noah Gray,17,49,40,81.6,437,5,35,8.9,10.9,1,-4,-4,0,0,0,6.7
23,Will Dissly,15,64,50,78.1,481,2,29,7.5,9.6,0,0,0,0,0,0,7.3
