rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g,2023_fpts/g
1,Justin Jefferson,17,184,128,69.6,1809,8,64,9.8,14.1,4,24,6,1,0,0,21.7,20.2
2,Tyreek Hill,17,170,119,70,1710,7,64,10.1,14.4,7,32,4.6,2,1,0,20.4,23.5
3,Davante Adams,17,180,100,55.6,1516,14,60,8.4,15.2,3,-1,-0.3,0,1,0,19.7,15.6
4,Stefon Diggs,16,154,108,70.1,1429,11,53,9.3,13.2,1,-3,-3,0,1,0,19.8,16.1
5,CeeDee Lamb,17,156,107,68.6,1359,9,39,8.7,12.7,10,47,4.7,0,0,0,17.7,23.7
6,A.J. Brown,17,146,88,60.3,1496,11,78,10.2,17,0,0,0,0,2,2,17.6,17
7,Amon-Ra St. Brown,16,146,106,72.6,1161,6,49,8,11,9,95,10.6,0,0,0,16.7,20.7
8,Jaylen Waddle,17,117,75,64.1,1356,8,84,11.6,18.1,3,26,8.7,0,1,1,15.2,14.2
9,DeVonta Smith,17,136,95,69.9,1196,7,45,8.8,12.6,0,0,0,0,1,1,15,14.2
10,Amari Cooper,17,132,78,59.1,1160,9,55,8.8,14.9,0,0,0,0,0,0,14.5,15.1
11,Ja'Marr Chase,12,134,87,64.9,1046,9,60,7.8,12,5,8,1.6,0,2,2,20.2,16.4
12,Christian Kirk,17,133,84,63.2,1108,8,49,8.3,13.2,5,11,2.2,0,1,1,14.2,12.5
13,Tyler Lockett,16,117,84,71.8,1033,9,40,8.8,12.3,0,0,0,0,2,2,14.8,11.9
14,Terry McLaurin,17,120,77,64.2,1191,5,52,9.9,15.5,7,29,4.1,0,1,0,13.5,12.3
15,Brandon Aiyuk,17,114,78,68.4,1015,8,54,8.9,13,2,23,11.5,0,1,1,13.4,15.6
16,DK Metcalf,17,141,90,63.8,1048,6,54,7.4,11.6,0,0,0,0,2,2,13.3,14.1
17,Mike Evans,15,127,77,60.6,1124,6,63,8.9,14.6,0,0,0,0,0,0,15,16.6
18,Chris Godwin,15,142,104,73.2,1023,3,44,7.2,9.8,3,5,1.7,0,2,2,14.9,12.3
19,Tee Higgins,16,109,74,67.9,1029,7,59,9.4,13.9,0,0,0,0,0,0,13.8,11.5
20,Michael Pittman Jr.,16,141,99,70.2,925,4,28,6.6,9.3,3,30,10,0,2,1,13.5,15.6
21,Garrett Wilson,17,147,83,56.5,1103,4,60,7.5,13.3,4,4,1,0,2,1,12.7,12.5
22,Jerry Jeudy,15,100,67,67,972,6,67,9.7,14.5,4,40,10,0,0,0,13.6,8.9
23,Cooper Kupp,9,98,75,76.5,812,6,75,8.3,10.8,9,52,5.8,1,2,1,22.4,13.7
24,DJ Moore,17,118,63,53.4,888,7,62,7.5,14.1,10,53,5.3,0,0,0,11.7,16.9
25,Chris Olave,15,119,72,60.5,1042,4,53,8.8,14.5,0,0,0,0,2,2,13.2,14.5
26,Zay Jones,16,121,82,67.8,823,5,59,6.8,10,4,18,4.5,0,0,0,12.4,8.7
27,JuJu Smith-Schuster,16,101,78,77.2,933,3,53,9.2,12,0,0,0,0,3,2,11.6,5.5
28,Diontae Johnson,17,147,86,58.5,882,0,37,6,10.3,7,25,3.6,0,1,0,10.6,11.7
29,Jakobi Meyers,14,96,67,69.8,804,6,48,8.4,12,2,-11,-5.5,0,2,2,12.9,13.7
30,Adam Thielen,17,107,70,65.4,716,6,36,6.7,10.2,1,4,4,0,0,0,10.6,13.6
31,Drake London,17,117,72,61.5,866,4,40,7.4,12,0,0,0,0,3,3,10.5,10.9
33,Curtis Samuel,17,92,64,69.6,656,4,49,7.1,10.2,38,187,4.9,1,1,1,10.4,9.8
34,Allen Lazard,15,100,60,60,788,6,47,7.9,13.1,2,0,0,0,0,0,11.7,4.3
35,Gabe Davis,15,93,48,51.6,836,7,98,9,17.4,0,0,0,0,1,1,11.4,9.5
36,Joshua Palmer,16,107,72,67.3,769,3,50,7.2,10.7,1,4,4,0,1,0,10.6,10.7
