rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g
1,Ja'Marr Chase,17,175,127,72.6,1708,17,70,9.8,13.4,3,32,10.7,0,0,0,23.7
2,Justin Jefferson,17,154,103,66.9,1533,10,97,10,14.9,1,3,3,0,1,0,18.7
3,Amon-Ra St. Brown,17,141,115,81.6,1263,12,66,9,11,2,6,3,0,1,1,18.6
4,Brian Thomas Jr.,17,133,87,65.4,1282,10,85,9.6,14.7,6,48,8,0,0,0,16.7
5,Drake London,17,158,100,63.3,1271,9,39,8,12.7,1,-3,-3,0,0,0,16.5
6,Malik Nabers,15,170,109,64.1,1204,7,59,7.1,11,5,2,0.4,0,1,0,18.2
7,Terry McLaurin,17,117,82,70.1,1096,13,86,9.4,13.4,2,2,1,0,1,1,15.8
8,CeeDee Lamb,15,152,101,66.4,1194,6,65,7.9,11.8,14,70,5,0,1,1,17.6
9,Jaxon Smith-Njigba,17,137,100,73,1130,6,46,8.2,11.3,5,26,5.2,0,1,0,14.9
10,Garrett Wilson,17,154,101,65.6,1104,7,42,7.2,10.9,2,5,2.5,0,2,2,14.8
11,Davante Adams,14,141,85,60.3,1063,8,71,7.5,12.5,0,0,0,0,0,0,17.2
12,Jerry Jeudy,17,145,90,62.1,1229,4,89,8.5,13.7,0,0,0,0,0,0,14.2
13,Ladd McConkey,16,112,82,73.2,1149,7,60,10.3,14,0,0,0,0,2,0,15.1
14,Mike Evans,14,110,74,67.3,1004,11,57,9.1,13.6,0,0,0,0,0,0,17.2
15,Courtland Sutton,17,135,81,60,1081,8,47,8,13.3,0,0,0,0,1,1,14.1
16,DJ Moore,17,140,98,70,966,6,44,6.9,9.9,14,75,5.4,0,1,1,14
17,Tee Higgins,12,109,73,67,911,10,42,8.4,12.5,0,0,0,0,1,1,18.5
18,Tyreek Hill,17,123,81,65.9,959,6,80,7.8,11.8,8,53,6.6,0,0,0,12.8
19,Jakobi Meyers,15,129,87,67.4,1027,4,43,8,11.8,2,23,11.5,0,0,0,14.5
20,A.J. Brown,13,97,67,69.1,1079,7,67,11.1,16.1,0,0,0,0,0,0,16.7
21,Jordan Addison,15,99,63,63.6,875,9,69,8.8,13.9,3,20,6.7,1,0,0,14.2
22,Jameson Williams,15,91,58,63.7,1001,7,82,11,17.3,11,61,5.5,1,0,0,14.1
23,Nico Collins,12,99,68,68.7,1006,7,67,10.2,14.8,0,0,0,0,0,0,17.6
24,Jauan Jennings,15,113,77,68.1,975,6,45,8.6,12.7,0,0,0,0,1,0,14
25,Zay Flowers,17,116,74,63.8,1059,4,53,9.1,14.3,9,56,6.2,0,0,0,12.3
26,Puka Nacua,11,106,79,74.5,990,3,51,9.3,12.5,11,46,4.2,1,0,0,18.8
27,DeVonta Smith,13,89,68,76.4,833,8,49,9.4,12.2,1,1,1,0,0,0,15.3
28,Calvin Ridley,17,120,64,53.3,1017,4,63,8.5,15.9,8,55,6.9,1,1,1,11.7
29,Jayden Reed,17,75,55,73.3,857,6,70,11.4,15.6,20,163,8.2,1,3,1,11.6
30,Marvin Harrison Jr.,17,116,62,53.4,885,8,60,7.6,14.3,0,0,0,0,1,1,11.6
31,Darnell Mooney,16,106,64,60.4,992,5,49,9.4,15.5,0,0,0,0,0,0,12.1
32,DK Metcalf,15,108,66,61.1,992,5,71,9.2,15,0,0,0,0,2,2,12.7
33,Xavier Worthy,17,98,59,60.2,638,6,54,6.5,10.8,20,104,5.2,3,0,0,11
34,Keenan Allen,15,121,70,57.9,744,7,45,6.1,10.6,0,0,0,0,1,0,12.3
35,Josh Downs,14,107,72,67.3,803,5,69,7.5,11.2,1,12,12,0,0,0,13.1
36,Wan'Dale Robinson,17,140,93,66.4,699,3,35,5,7.5,3,18,6,0,0,0,10.7
37,Khalil Shakir,15,100,76,76,821,4,52,8.2,10.8,2,4,2,0,1,0,12.2
38,Cooper Kupp,12,100,67,67,710,6,69,7.1,10.6,2,10,5,0,1,0,14.6
39,Quentin Johnston,15,91,55,60.4,711,8,66,7.8,12.9,3,6,2,0,0,0,11.6
40,Rashod Bateman,17,72,45,62.5,756,9,59,10.5,16.8,0,0,0,0,0,0,10.3
41,Michael Pittman Jr.,16,111,69,62.2,808,3,33,7.3,11.7,0,0,0,0,1,1,10.4
42,George Pickens,14,103,59,57.3,900,3,44,8.7,15.3,2,-6,-3,0,1,1,11.7
43,Alec Pierce,16,69,37,53.6,824,7,65,11.9,22.3,0,0,0,0,0,0,10.1
44,Deebo Samuel Sr.,15,81,51,63,670,3,76,8.3,13.1,42,136,3.2,1,2,1,10.2
